1980 Q1 to 2022 Q4 All-Transactions House Price Index by State (Index 1980:Q1=100)
Series ID,Region Name,Region Code,1980-01-01,1980-04-01,1980-07-01,1980-10-01,1981-01-01,1981-04-01,1981-07-01,1981-10-01,1982-01-01,1982-04-01,1982-07-01,1982-10-01,1983-01-01,1983-04-01,1983-07-01,1983-10-01,1984-01-01,1984-04-01,1984-07-01,1984-10-01,1985-01-01,1985-04-01,1985-07-01,1985-10-01,1986-01-01,1986-04-01,1986-07-01,1986-10-01,1987-01-01,1987-04-01,1987-07-01,1987-10-01,1988-01-01,1988-04-01,1988-07-01,1988-10-01,1989-01-01,1989-04-01,1989-07-01,1989-10-01,1990-01-01,1990-04-01,1990-07-01,1990-10-01,1991-01-01,1991-04-01,1991-07-01,1991-10-01,1992-01-01,1992-04-01,1992-07-01,1992-10-01,1993-01-01,1993-04-01,1993-07-01,1993-10-01,1994-01-01,1994-04-01,1994-07-01,1994-10-01,1995-01-01,1995-04-01,1995-07-01,1995-10-01,1996-01-01,1996-04-01,1996-07-01,1996-10-01,1997-01-01,1997-04-01,1997-07-01,1997-10-01,1998-01-01,1998-04-01,1998-07-01,1998-10-01,1999-01-01,1999-04-01,1999-07-01,1999-10-01,2000-01-01,2000-04-01,2000-07-01,2000-10-01,2001-01-01,2001-04-01,2001-07-01,2001-10-01,2002-01-01,2002-04-01,2002-07-01,2002-10-01,2003-01-01,2003-04-01,2003-07-01,2003-10-01,2004-01-01,2004-04-01,2004-07-01,2004-10-01,2005-01-01,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01,2017-10-01,2018-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01
"ALSTHPI","Alabama","01","100","103","109.87","108.89","105.39","109.01","112.4","106.66","109.18","107.02","107.63","115.5","114.62","114.44","116.81","113.74","123.5","120.17","124.78","121.22","121.36","124.59","127.34","128.25","129.5","131.86","133.32","135.91","138.05","139.1","139.68","138.32","141.98","143.03","142.64","141.27","141.48","143.35","145.52","146.59","145.47","146.67","147.26","147.42","148.7","150.89","151.75","154.2","155.46","155.63","158.59","159.94","161.01","162.75","165.66","167.11","168.19","170.23","170.94","171.09","172.64","176.09","178.87","180.23","183.4","183.38","183.76","185.89","188.02","189.23","192.16","194.65","197.86","199.42","201.58","204.09","204.74","205.55","205.92","207.56","208.3","210.02","211.68","214.38","220.62","221.54","223.13","225.66","226.04","227.21","230.58","233.25","235.64","237.71","239.32","240.9","243.13","244.68","249.18","252.88","256.17","262.3","267.83","273.29","278.78","283.37","287.94","293.45","295.37","299.47","300.19","302.49","304.41","303.19","300.91","302.47","304.67","301.36","294.18","293.28","289.07","284.77","288.62","286.2","278.72","274.98","277.15","279.28","276.36","274.45","276.35","276.85","274.08","274.73","274.14","273.09","274.86","275.57","278.57","279.93","282.9","283.71","285.4","287.31","287.96","292.04","296.65","295.67","297.32","300.91","303.86","305.73","309.24","313.79","316.78","317.5","323.34","327.69","332.56","336.41","340.25","345.23","351.78","359.14","366.53","383.96","405.46","422.28","434.35","461.26","475.39","476.45"
"AKSTHPI","Alaska","02","100","82.81","73.76","94.67","89.45","108.45","116.28","129.04","136.17","130.95","140.71","136.75","138.72","140.03","146.51","145.91","149.87","147.69","154.28","152.29","144.52","145.13","145.71","141.57","142.53","144.91","140.31","137","133.57","124.14","115.93","104.98","120.74","115.15","126.22","131.93","128.47","104.24","104.01","102.03","98.67","112.35","121.81","119.91","124.09","127.19","131.11","131.24","133.08","134.29","134.97","135.47","135.33","135.87","138.31","139.11","140.25","143.49","145.33","144.38","146.62","149.15","150.64","151.16","153.52","156.02","156.5","158.53","158.35","159.71","160.95","163.04","162.8","165.51","167.05","166.81","168.71","172.35","172.02","172.07","171.88","174.23","175.21","175.65","178.78","182.48","185.04","185.43","188.27","193.7","194.95","194.5","195.79","198.91","203.43","211.41","212.68","217.79","229.09","231.46","237.26","246","254.89","262.66","267","273.42","278.7","280.26","284.14","286.96","285.97","285.4","285.25","285.73","282.17","284.62","285.34","282.54","281.32","282.75","278.48","280.89","282.71","283.41","283.27","282.58","283.54","285.53","283.59","282.67","285.79","287.99","291.2","291.95","294.72","296.1","293.34","299.35","303.11","302.16","304.94","308.19","312.03","312.73","313.36","315.59","317.49","315.39","316.99","317.86","321.43","321.68","321.09","323.36","323.5","323","325.96","329.89","332.4","332.19","335.86","339.15","343.25","346.58","350.08","363.09","380.16","385.34","395.66","417.45","421.76","414.35"
"AZSTHPI","Arizona","04","100","98.35","106.93","107.69","108.79","111.91","116.47","109.78","105.34","109.12","101.42","108.7","118.94","119.08","115.3","112.86","117.52","121.75","122.84","122.51","125.07","125.52","127.23","128.8","131.42","135.37","135.36","132.91","137.72","136.64","135.68","133.54","134.92","136.12","134.11","134.33","133.12","132.6","134.64","133.93","133.68","132.89","134.07","132.73","134.76","135.73","135.19","139.13","139.82","139.55","140.48","141.33","141.45","143.17","144.31","146.22","148.2","150.34","152.27","153.93","155.88","158.73","161.78","163.88","166.45","166.78","168.34","169.75","171.62","172.5","175.53","178.19","180.7","182.21","184.68","186.82","188.7","191.11","193.74","195.62","200.06","202.25","204.96","208.08","212.74","216.02","219.14","221.26","224.27","227.25","231.12","233.79","236.58","239.04","242.73","250.88","255.27","264.39","279.82","291.29","308.97","340.81","369.81","395.53","410.28","419","422.63","426.28","424.48","420.85","411.52","404.62","391.22","368.64","341.66","329.62","328.59","305.13","289.37","280.77","272.93","263.35","263.02","256.47","242.03","230.11","232.02","237.18","236.15","239.06","248.81","256.29","262.57","274.42","282.56","290.46","295.97","301.27","304.36","309.41","312.02","318.7","325.16","329.69","333.61","340.6","346.27","351.91","357.06","366.22","373.97","378.36","386.19","394.28","403.41","408.06","413.32","421.52","427.85","435.22","443.97","451.71","462.76","479.09","500.47","540.26","585.1","614.88","644.52","695.19","705.33","682.98"
"ARSTHPI","Arkansas","05","100","100.85","106.56","108.9","109.62","106.31","108.97","102.79","102.55","105.92","110.76","108.36","113","116.22","117.87","118.08","120.37","118.74","119.4","120.83","120.96","119.69","123.8","124.11","125.38","128.45","126.37","127.94","128.9","130.44","127.43","123.95","126.27","127.28","126.56","125.98","126.94","126.64","127.83","126.88","127.57","127.78","128.51","128.02","129.29","129.97","131.16","133.42","134.48","133.85","136.19","136.83","138.03","140.29","142.87","144.6","147.38","148.63","150.46","151.51","152.3","156.47","158.4","159.2","161.53","161.82","161.62","163.28","164.8","166.3","167.21","169.46","171.27","171.26","174.02","175.95","176.74","176.96","177.6","178.27","179.13","180.83","181.9","184.35","188.99","190.09","192.05","193.99","194.73","195.59","198.78","201.25","202.77","204.07","206.52","209.66","212.29","215.79","219.33","223.19","226.32","231.56","236.7","239.94","243.45","246.82","249.51","251.69","254","255.5","255.23","256.35","256.11","255.35","252.32","253.64","255.85","252.67","248.59","247.56","244.22","244.99","245.8","244.74","240.83","239.12","241.3","242.51","241.92","239.5","242.84","244.36","245.06","245.46","246.17","245.76","247.15","247.05","249.33","252.06","252.17","252.99","256.51","258.53","257.2","261.06","263.85","265.14","268.07","269.45","272.36","274.56","277.34","280","282.45","284.65","287.06","290.43","293.58","296.16","297.96","300.57","305","312.44","318","334.29","352.71","368.11","378.74","403.65","417.51","417.84"
"CASTHPI","California","06","100","102.85","106.54","108.38","110.4","112.94","116.32","117.53","104.23","107.37","104.84","115.85","116.7","117.42","117.23","117.75","119.49","120.12","121.7","122.79","124.51","126.31","129.17","130.58","132.26","134.81","137.76","141.11","144.73","148.29","152.95","157.26","163.04","169.74","177.8","187.53","196.32","205.97","217.88","224.72","227.49","228.22","230.16","228.62","228.54","227.13","227.13","228.8","227.59","225.23","224.79","222.7","219.25","217.37","215.52","214.25","212.13","206.98","203.93","201.04","199.71","201.61","203.95","203.63","203.6","201","200.63","201.68","202.62","204.67","208.71","212.36","216.99","221.73","227.59","231.98","235.47","239.48","244.97","250.17","261.05","268.07","277.06","285.63","296.67","305.75","312.17","316.56","325.02","336.05","348.7","358.9","367.18","374.07","386.75","411.48","424.75","451.36","497.23","516.35","538.92","570.49","598.99","625.72","638.7","644.56","646.66","642.91","634.15","623.51","600.22","575.75","543.46","498.58","460.74","444.87","440.87","420.76","411.47","412.78","409.75","408.53","410.77","406.25","391.74","385.46","387.06","385.88","381.59","382.23","391.15","399.47","407.89","426.62","447.62","462.47","472.1","484.88","495.02","500.63","505.86","517.22","530.4","537.72","544.76","554.4","566.54","573.37","579.34","591.37","603.12","611.78","622.23","634.09","642.1","642.02","646.14","652.73","659.62","663.9","670.15","677.82","685.75","699.88","719.43","762.19","801.78","834.33","868.78","924.12","918.64","897.36"
"COSTHPI","Colorado","08","100","102.26","107.14","106.63","106.5","108.56","114.49","110.36","119.6","120.7","122.49","126.4","126.16","125.13","126.31","121.94","126.14","125.45","125.69","123.39","126.31","125.47","126.51","124.15","128.76","129.47","128.61","127.93","129.66","128.14","125.43","124.36","125.42","125.02","123.79","123.41","123.43","124.31","126.85","126.36","126.98","128.03","128.99","129.31","130.75","132.41","133.58","135.84","137.74","140.83","143.9","146.61","149.29","152.95","157.27","161.16","165.88","173.52","177.81","179.3","182.61","186.23","189.93","192.82","195.19","197.7","199.9","202.65","204.77","207.44","210.76","214.04","217.06","219.67","223.68","226.42","230.8","237.88","245.73","249.98","259.42","265.8","272.75","278.86","286.67","292.5","297.9","300.32","303.82","307.16","311.53","313.45","314.32","315.69","317.11","320.73","323.15","325.65","330.16","333.36","336.88","341.81","347.17","350.56","351.59","353.44","354.99","358.32","359.18","360.16","357.82","358.73","360.63","358.48","351.44","352.48","359.01","353.13","344.81","343.89","340.01","336.07","340.28","338.76","330.19","324.37","327.67","330.62","328.84","329.68","335.1","338.13","342.28","349.27","357.76","360.81","365.84","378.41","386.78","392.52","400.03","416.63","431.61","437.6","445.43","461.09","473.64","480.43","488.59","505.69","513.78","520.91","534.78","548.52","556.86","558.48","566.15","575.09","580.37","585.21","591.55","598.53","607.95","620.38","637.03","683.03","723.56","744.01","775.55","836.92","828.74","811.12"
"CTSTHPI","Connecticut","09","100","101.61","103.76","104.83","104.4","109.7","114.27","111.5","111.77","112.18","111.06","112.93","118.7","121.06","122.46","126.21","131.1","134.57","140.24","141.77","148.36","155.45","160.03","168.8","174.49","185.35","199.34","212.65","224.87","237.27","250.07","257.46","263.31","267.51","265.73","266.27","261.68","261.44","262.31","261.28","257.4","249.54","246.98","240.28","239.86","236.45","233.75","236.05","237.06","232.39","233.22","233.02","229.41","230.03","230.01","230.61","228.65","223.5","220.57","217.79","216.6","219.38","224.69","224.94","227.88","225.01","221.74","223.1","224.41","225.47","228.04","230.33","235.83","235.93","239.41","242.52","245.79","248.79","253.58","256.65","261.39","268.52","274.3","278.09","284.96","291.08","298.22","303.41","309.91","318.77","327.46","334.34","338.57","344.15","352.37","365.27","371.61","383.68","403.1","410.88","421.32","435.38","447.54","456.53","462.52","464.81","465.22","467.92","471.04","467.39","463.6","462.84","462.36","451.46","437.54","433.85","437.28","423.11","412.4","411.06","406.26","401.81","406.3","406.98","396.53","389.2","390.36","393.42","386.84","382.87","383.9","385.2","383.36","381.61","381.13","378.08","376.7","379.77","382.41","382.04","386.91","388.06","385.76","385.25","385.48","387.32","390.78","390.9","385.53","390.98","393.46","393.3","391.67","394.63","398.22","396.29","398.35","404.77","409.31","411.71","413.32","417.66","426.83","438.36","449.99","473","498.93","509.29","522.76","555.99","566.63","564.03"
"DESTHPI","Delaware","10","100","106.63","109.67","106.46","109.13","104.08","115.95","107.27","102.22","113.03","113.09","115.84","116.36","118.77","122.19","127.7","125.12","128.35","131.6","133.6","136.64","140.59","143.02","145.52","150.85","154.29","159.03","164.41","170.91","175.03","182.13","186.96","189.72","195.31","200.93","205.96","209.3","216","221.12","222.47","225.85","225.08","223.45","223.35","226.74","227.51","227.54","230.68","230.68","229.09","230.26","232.29","230.95","231.95","231.47","232.14","231.16","228.57","226.22","225.37","225.99","226.89","230.59","230.31","233.38","230.79","231.74","233.76","233.66","234.02","236.1","237.84","241.65","242.41","243.63","244.99","248.91","250.62","254.72","256.07","260.24","264.73","269.78","273.32","279.18","283.93","289.57","293.54","298.64","306.28","314.09","319.16","323.88","330.74","338.35","351.12","362.17","370.14","392.37","404.34","415.57","433.08","452.72","462.24","471.62","480.68","485.26","494.17","494.42","498.06","493.13","493.75","490.45","483.8","472.66","467.18","469.56","455.62","444.72","440.77","437.91","433.28","432.94","429.62","419.03","406.99","403.07","408.23","405.06","396.56","399.51","402.22","402.6","402.78","404.27","407.16","406.3","409.91","414.83","413.43","420.26","419.22","421.97","423.81","424.76","428.94","433.38","436.85","435.24","438.17","438.93","443.03","449.32","452.18","453.95","458.07","461.06","468.41","473.88","476.82","483.13","486.56","496.69","504.47","519.97","541.73","567.87","588.01","605.21","643.28","648.34","650.45"
"DCSTHPI","District of Columbia","11","100","96.28","98.89","101.86","91.92","106.24","95.86","103.49","76.98","104.73","81.77","101.75","95.72","97.59","102.76","100.66","102.51","104.51","106.58","108.76","108.12","111.35","112.96","114.91","114.65","120.27","123.58","128.72","133.73","136.58","141.12","147.31","155.54","162.92","166.15","171.15","180.74","182.52","184.51","188.04","193.53","193.43","188.86","189.34","191.45","192.88","190.85","194.57","197.33","197.28","196.81","195.4","194.29","194.92","195.67","196.2","197.57","190.15","190.33","182.48","185.38","184.79","189.81","192.91","195.51","191.61","189.35","190.64","190.81","192.57","190.49","190.92","198.47","199.81","201.22","206.97","209.07","213.6","220.03","226.16","236.09","244.76","252.39","257.09","267.91","280.25","291.89","300.78","310.31","321.58","336.46","346.49","354.36","361.2","372.57","392.34","407.65","428.08","457.79","482.28","504.16","533.78","565.88","594.05","603.32","610.98","616.7","627.07","632.61","632.34","633.8","626.66","614.23","598.29","584.39","577.79","580","562.83","557.83","565.44","559","561.53","570.25","569.9","562.21","570.52","572.61","579.14","583.1","586.74","596.71","607.94","617.83","635.91","656.84","659.87","674.44","690.29","697.42","713.36","719.47","730.92","747.62","763.19","769.24","785.82","791.6","805.68","803.05","823.22","833.89","839.54","849.71","862.98","867.85","879.17","884.79","890.4","904.51","910.49","918.12","919.88","930.77","951.29","961.14","1001.81","1025.57","1036.13","1061.73","1109.83","1096.76","1073.26"
"FLSTHPI","Florida","12","100","99.69","105.83","108.68","110.02","112.24","108.1","104.7","112.76","114.63","104.51","112.66","121.35","123.71","124.15","124.47","125.68","126.79","128.05","126.38","127.85","128.16","128.06","129.82","131.19","134.66","135.57","135.76","136.42","138.59","138.78","139.81","141.24","144.21","145.32","146.53","147.68","148.63","151.11","152.25","152.98","152.46","153.39","152.82","154.55","155.01","154.76","157.45","159.31","157.9","160.55","160.62","160.87","162.58","163.9","165.5","165.29","164.16","164.43","164.4","164.98","167.23","170.37","171.71","173.55","172.49","173.04","173.99","175.94","175.91","178.2","181.28","184.8","184.6","186.97","189.7","190.81","192.31","194.58","196.93","200.84","204.4","208.72","213.08","219.24","224.75","229.92","235.45","240.14","247.46","254.45","260.21","265.77","272.18","278.71","291.67","300.55","314.68","334.39","349.68","368.36","395.92","423.51","445.77","463.2","473.09","476.45","479.71","476.78","470.54","453.68","442.35","424.62","395.31","363.23","344.68","350.41","332.46","313.39","305.48","299.68","291.34","294.76","289.48","275.66","267.28","270.11","272.52","267.09","265.12","271.53","275.26","279.03","288.3","295.68","303.22","307.56","315.9","322.68","328.57","335.95","344.16","352.66","359.61","366.34","375.65","385.93","392.32","399.59","409.38","416.61","424.67","433.22","441.57","448.95","452.37","459.41","465.39","473.03","479.15","486.44","492.62","501.05","514.49","531.18","565.84","607.79","642.29","678.17","735.83","767.66","768.11"
