,hpi_change,zip_code
19,460.47,33143.0
25,466.39,98367.0
36,542.0400000000001,33162.0
39,396.37,33150.0
44,382.43000000000006,95661.0
51,473.15999999999985,90640.0
63,545.2299999999998,92882.0
67,582.7099999999998,93001.0
70,634.8600000000001,91306.0
75,470.0999999999999,92886.0
87,428.15999999999997,95376.0
90,490.6200000000001,91321.0
98,394.25,2806.0
128,394.20000000000005,97756.0
143,502.90999999999997,33161.0
150,536.6999999999999,33155.0
159,601.9100000000001,91307.0
166,444.47,33146.0
172,498.98,33145.0
197,405.01,33174.0
200,414.4100000000001,33157.0
236,442.20000000000005,33156.0
245,484.3299999999999,91326.0
253,458.6100000000001,90631.0
270,594.0699999999999,91324.0
276,383.6,33166.0
283,391.43999999999994,33173.0
285,442.03999999999996,33175.0
311,596.8699999999999,90660.0
315,695.3600000000001,90650.0
320,545.5,90638.0
321,504.46000000000004,90630.0
328,666.45,91331.0
338,537.8600000000001,91311.0
365,431.8499999999999,90680.0
366,486.07000000000016,33144.0
380,610.99,98223.0
393,410.9200000000001,90670.0
396,467.78999999999985,33165.0
406,636.2199999999998,91316.0
407,422.78999999999996,95033.0
418,483.01,91320.0
421,540.55,91325.0
423,410.45000000000005,90701.0
438,537.3599999999999,93065.0
473,617.7,91040.0
476,382.70000000000005,95023.0
510,409.8499999999999,93101.0
590,451.69000000000005,90744.0
610,506.8699999999999,33013.0
620,620.9300000000001,91103.0
643,387.1099999999999,90740.0
661,711.7699999999998,91104.0
666,621.8199999999999,91016.0
680,586.9000000000001,91042.0
695,550.5899999999999,93063.0
697,558.29,90746.0
702,649.48,97703.0
711,543.9200000000001,93060.0
715,409.7399999999999,97321.0
729,486.2400000000001,33012.0
742,561.81,90745.0
786,715.6699999999998,91001.0
790,398.64999999999986,93110.0
813,535.06,90808.0
827,541.3600000000001,91006.0
841,525.81,90813.0
856,460.3100000000002,95401.0
858,695.9000000000001,97701.0
859,713.49,93117.0
881,513.1100000000001,93111.0
888,493.69999999999993,90810.0
892,384.73,32806.0
898,538.0700000000002,32789.0
906,601.8100000000002,90815.0
912,408.0899999999999,93036.0
916,634.6499999999999,90805.0
936,510.23,91010.0
937,605.53,98229.0
950,572.42,97702.0
956,472.97,93103.0
971,459.07000000000005,90804.0
984,-505.77,94925.0
1026,420.37,98664.0
1031,479.5500000000002,90807.0
1055,430.6400000000001,97322.0
1057,542.5600000000001,90806.0
1079,416.39999999999986,91208.0
1082,530.25,90712.0
1102,700.9799999999998,93013.0
1103,472.9799999999999,98366.0
1130,431.1700000000001,90710.0
1137,627.9300000000001,91214.0
1168,562.78,91206.0
1169,442.97,33062.0
1174,580.78,93015.0
1181,527.1800000000001,90715.0
1201,450.3600000000001,95407.0
1219,575.3500000000001,95020.0
1237,621.6500000000001,90713.0
1247,424.02,90703.0
1253,580.98,8203.0
1271,547.21,33134.0
1279,575.9099999999999,91303.0
1282,457.6600000000001,33137.0
1304,552.49,93003.0
1319,627.5699999999999,33138.0
1320,558.8100000000002,91304.0
1331,471.03,93010.0
1338,419.2900000000001,33125.0
1359,896.8799999999999,98225.0
1361,537.8699999999999,91301.0
1378,459.74000000000024,94930.0
1379,530.6600000000001,93004.0
1382,493.3100000000002,33133.0
1386,561.23,90706.0
1402,433.51,91302.0
1423,541.26,93033.0
1437,450.3800000000001,90731.0
1442,584.7300000000002,91107.0
1448,408.83000000000015,90723.0
1480,-498.85000000000014,95032.0
1494,419.69000000000005,33021.0
1503,478.69000000000005,33023.0
1509,416.32000000000005,33020.0
1534,583.6899999999999,98226.0
1559,440.28,33024.0
1565,573.46,93035.0
1569,487.5799999999999,93030.0
1629,479.76,91205.0
1655,452.8899999999999,90720.0
1679,558.28,91201.0
1692,406.57000000000005,1453.0
1693,582.71,93023.0
1698,496.95000000000005,33040.0
1714,457.59000000000003,97317.0
1738,709.3,92054.0
1740,413.21000000000004,98311.0
1761,471.87,92056.0
1772,420.76,92504.0
1776,500.22,34698.0
1780,406.20000000000005,92503.0
1781,467.5799999999999,92040.0
1786,458.64,97401.0
1788,524.61,98273.0
1827,614.4699999999998,95003.0
1848,683.44,92057.0
1866,598.4699999999998,92027.0
1881,390.31000000000006,92507.0
1889,383.30999999999995,92028.0
1908,465.53,92026.0
1938,389.21000000000004,92505.0
1973,475.31000000000006,92506.0
1976,420.86,92029.0
1983,387.73999999999995,34684.0
2053,536.6400000000001,98310.0
2060,389.74,34997.0
2062,402.91,92386.0
2077,474.5,2906.0
2095,486.0,92083.0
2099,391.0099999999999,1701.0
2117,503.19999999999993,92084.0
2128,449.72,92065.0
2132,477.02999999999986,98503.0
2158,421.75,98501.0
2172,548.94,92064.0
2184,436.6200000000001,92069.0
2192,489.46000000000004,92399.0
2217,512.85,98274.0
2227,541.6800000000001,92404.0
2248,481.7900000000001,92071.0
2252,389.0,92509.0
2256,458.78999999999996,91950.0
2299,477.05000000000007,91945.0
2304,385.08000000000004,34285.0
2320,390.9799999999999,95624.0
2321,472.31999999999994,75209.0
2353,482.8299999999999,34293.0
2360,553.5299999999999,91977.0
2364,478.99,75214.0
2371,605.69,2882.0
2381,438.86,98506.0
2408,591.4100000000001,91932.0
2410,608.6700000000001,98270.0
2416,382.90999999999985,94945.0
2431,464.19999999999993,34231.0
2447,493.81999999999994,91941.0
2456,723.9100000000001,34242.0
2469,569.8899999999999,91942.0
2479,413.5,34237.0
