Name,State_Num,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
Alabama,22,State,1910,2138093,16.9,42.2,25,10,1,"213,809"
Alabama,22,State,1920,2348174,9.8,46.4,25,10,0,"234,817"
Alabama,22,State,1930,2646248,12.7,52.3,24,9,-1,"294,027"
Alabama,22,State,1940,2832961,7.1,55.9,23,9,0,"314,773"
Alabama,22,State,1950,3061743,8.1,60.5,24,9,0,"340,194"
Alabama,22,State,1960,3266740,6.7,64.5,28,8,-1,"408,343"
Alabama,22,State,1970,3444165,5.4,68,28,7,-1,"496,555"
Alabama,22,State,1980,3893888,13.1,76.9,28,7,0,"555,723"
Alabama,22,State,1990,4040587,3.8,79.8,27,7,0,"580,373"
Alabama,22,State,2000,4447100,10.1,87.8,28,7,0,"637,304"
Alabama,22,State,2010,4779736,7.5,94.4,29,7,0,"686,140"
Alabama,22,State,2020,5024279,5.1,99.2,29,7,0,"718,579"
Alaska,49,State,1910,64356,1.2,0.1,52,,,
Alaska,49,State,1920,55036,-14.5,0.1,52,,,
Alaska,49,State,1930,59278,7.7,0.1,52,,,
Alaska,49,State,1940,72524,22.3,0.1,52,,,
Alaska,49,State,1950,128643,77.4,0.2,52,,,
Alaska,49,State,1960,226167,75.8,0.4,52,1,1,"226,167"
Alaska,49,State,1970,300382,32.8,0.5,52,1,0,"304,067"
Alaska,49,State,1980,401851,33.8,0.7,52,1,0,"400,481"
Alaska,49,State,1990,550043,36.9,1,52,1,0,"551,947"
Alaska,49,State,2000,626932,14,1.1,52,1,0,"628,933"
Alaska,49,State,2010,710231,13.3,1.2,52,1,0,"721,523"
Alaska,49,State,2020,733391,3.3,1.3,52,1,0,"736,081"
Arizona,48,State,1910,204354,66.2,1.8,49,,,
Arizona,48,State,1920,334162,63.5,2.9,49,1,1,"309,495"
Arizona,48,State,1930,435573,30.3,3.8,47,1,1,"389,375"
Arizona,48,State,1940,499261,14.6,4.4,47,2,1,"249,631"
Arizona,48,State,1950,749587,50.1,6.6,47,2,0,"374,794"
Arizona,48,State,1960,1302161,73.7,11.5,43,3,1,"434,054"
Arizona,48,State,1970,1770900,36,15.6,43,4,1,"446,905"
Arizona,48,State,1980,2718215,53.5,23.9,42,5,1,"543,573"
Arizona,48,State,1990,3665228,34.8,32.3,39,6,1,"612,998"
Arizona,48,State,2000,5130632,40,45.2,38,8,2,"642,585"
Arizona,48,State,2010,6392017,24.6,56.3,35,9,1,"712,522"
Arizona,48,State,2020,7151502,11.9,62.9,35,9,0,"795,436"
Arkansas,25,State,1910,1574449,20,30.3,30,7,0,"224,921"
Arkansas,25,State,1920,1752204,11.3,33.7,31,7,0,"250,315"
Arkansas,25,State,1930,1854482,5.8,35.6,32,7,0,"264,921"
Arkansas,25,State,1940,1949387,5.1,37.5,32,7,0,"278,484"
Arkansas,25,State,1950,1909511,-2,36.7,34,6,-1,"318,252"
Arkansas,25,State,1960,1786272,-6.5,34.3,36,4,-2,"446,568"
Arkansas,25,State,1970,1923295,7.7,37,37,4,0,"485,576"
Arkansas,25,State,1980,2286435,18.9,43.9,37,4,0,"571,378"
Arkansas,25,State,1990,2350725,2.8,45.2,37,4,0,"590,560"
Arkansas,25,State,2000,2673400,13.7,51.4,36,4,0,"669,933"
Arkansas,25,State,2010,2915918,9.1,56,36,4,0,"731,557"
Arkansas,25,State,2020,3011524,3.3,57.9,36,4,0,"753,439"
California,31,State,1910,2377549,60.1,15.3,38,11,3,"216,051"
California,31,State,1920,3426861,44.1,22,35,11,0,"311,457"
California,31,State,1930,5677251,65.7,36.4,31,20,9,"283,412"
California,31,State,1940,6907387,21.7,44.3,30,23,3,"300,321"
California,31,State,1950,10586223,53.3,68,22,30,7,"352,874"
California,31,State,1960,15717204,48.5,100.9,15,38,8,"413,611"
California,31,State,1970,19953134,27,128.1,15,43,5,"467,415"
California,31,State,1980,23667902,18.6,151.9,16,45,2,"525,968"
California,31,State,1990,29760021,25.7,191,14,52,7,"573,832"
California,31,State,2000,33871648,13.8,217.4,14,53,1,"640,204"
California,31,State,2010,37253956,10,239.1,13,53,0,"704,566"
California,31,State,2020,39538223,6.1,253.7,13,52,-1,"761,091"
Colorado,38,State,1910,799024,48,7.7,42,4,1,"199,643"
Colorado,38,State,1920,939629,17.6,9.1,42,4,0,"234,790"
Colorado,38,State,1930,1035791,10.2,10,41,4,0,"258,712"
Colorado,38,State,1940,1123296,8.4,10.8,42,4,0,"280,824"
Colorado,38,State,1950,1325089,18,12.8,42,4,0,"331,272"
Colorado,38,State,1960,1753947,32.4,16.9,42,4,0,"438,487"
Colorado,38,State,1970,2207259,25.8,21.3,41,5,1,"445,354"
Colorado,38,State,1980,2889964,30.9,27.9,40,6,1,"481,472"
Colorado,38,State,1990,3294394,14,31.8,40,6,0,"551,319"
Colorado,38,State,2000,4301261,30.6,41.5,39,7,1,"615,983"
Colorado,38,State,2010,5029196,16.9,48.5,39,7,0,"720,704"
Colorado,38,State,2020,5773714,14.8,55.7,39,8,1,"722,771"
Connecticut,5,State,1910,1114756,22.7,230.2,6,5,0,"222,951"
Connecticut,5,State,1920,1380631,23.9,285.1,6,5,0,"276,126"
Connecticut,5,State,1930,1606903,16.4,331.8,6,6,1,"267,816"
Connecticut,5,State,1940,1709242,6.4,353,6,6,0,"284,874"
Connecticut,5,State,1950,2007280,17.4,414.5,6,6,0,"334,547"
Connecticut,5,State,1960,2535234,26.3,523.6,6,6,0,"422,539"
Connecticut,5,State,1970,3031709,19.6,626.1,6,6,0,"508,449"
Connecticut,5,State,1980,3107576,2.5,641.7,6,6,0,"517,929"
Connecticut,5,State,1990,3287116,5.8,678.8,6,6,0,"549,278"
Connecticut,5,State,2000,3405565,3.6,703.3,6,5,-1,"681,907"
Connecticut,5,State,2010,3574097,4.9,738.1,6,5,0,"716,326"
Connecticut,5,State,2020,3605944,0.9,744.7,6,5,0,"721,660"
Delaware,1,State,1910,202322,9.5,103.8,11,1,0,"202,322"
Delaware,1,State,1920,223003,10.2,114.4,12,1,0,"223,003"
Delaware,1,State,1930,238380,6.9,122.3,12,1,0,"238,380"
Delaware,1,State,1940,266505,11.8,136.8,12,1,0,"266,505"
Delaware,1,State,1950,318085,19.4,163.2,11,1,0,"318,085"
Delaware,1,State,1960,446292,40.3,229,11,1,0,"446,292"
Delaware,1,State,1970,548104,22.8,281.3,9,1,0,"551,928"
Delaware,1,State,1980,594338,8.4,305,9,1,0,"595,225"
Delaware,1,State,1990,666168,12.1,341.9,9,1,0,"668,696"
Delaware,1,State,2000,783600,17.6,402.1,9,1,0,"785,068"
Delaware,1,State,2010,897934,14.6,460.8,8,1,0,"900,877"
Delaware,1,State,2020,989948,10.2,508,8,1,0,"990,837"
District of Columbia,#N/A,State,1910,331069,18.8,"5,423.10",1,,,
District of Columbia,#N/A,State,1920,437571,32.2,"7,167.60",1,,,
District of Columbia,#N/A,State,1930,486869,11.3,"7,975.10",1,,,
District of Columbia,#N/A,State,1940,663091,36.2,"10,861.70",1,,,
District of Columbia,#N/A,State,1950,802178,21,"13,140.00",1,,,
District of Columbia,#N/A,State,1960,763956,-4.8,"12,513.90",1,,,
District of Columbia,#N/A,State,1970,756510,-1,"12,392.00",1,,,
District of Columbia,#N/A,State,1980,638333,-15.6,"10,456.20",1,,,
District of Columbia,#N/A,State,1990,606900,-4.9,"9,941.30",1,,,
District of Columbia,#N/A,State,2000,572059,-5.7,"9,370.60",1,,,
District of Columbia,#N/A,State,2010,601723,5.2,"9,856.50",1,,,
District of Columbia,#N/A,State,2020,689545,14.6,"11,280.00",1,,,
Florida,27,State,1910,752619,42.4,14,40,4,1,"188,155"
Florida,27,State,1920,968470,28.7,18.1,38,4,0,"242,118"
Florida,27,State,1930,1468211,51.6,27.4,35,5,1,"293,638"
Florida,27,State,1940,1897414,29.2,35.4,33,6,1,"316,236"
Florida,27,State,1950,2771305,46.1,51.7,29,8,2,"346,413"
Florida,27,State,1960,4951560,78.7,92.3,19,12,4,"412,630"
Florida,27,State,1970,6789443,37.1,126.6,16,15,3,"457,047"
Florida,27,State,1980,9746324,43.6,181.8,13,19,4,"512,631"
Florida,27,State,1990,12937926,32.7,241.3,12,23,4,"565,364"
Florida,27,State,2000,15982378,23.5,298,10,25,2,"641,156"
Florida,27,State,2010,18801310,17.6,350.6,10,27,2,"700,029"
Florida,27,State,2020,21538187,14.6,401.4,10,28,1,"770,376"
Georgia,4,State,1910,2609121,17.7,45.4,23,12,1,"217,427"
Georgia,4,State,1920,2895832,11,50.4,21,12,0,"241,319"
Georgia,4,State,1930,2908506,0.4,50.6,26,10,-2,"290,845"
Georgia,4,State,1940,3123723,7.4,54.3,27,10,0,"312,372"
Georgia,4,State,1950,3444578,10.3,59.9,27,10,0,"344,458"
Georgia,4,State,1960,3943116,14.5,68.6,26,10,0,"394,312"
Georgia,4,State,1970,4589575,16.4,79.8,26,10,0,"462,731"
Georgia,4,State,1980,5463105,19,95,24,10,0,"546,427"
Georgia,4,State,1990,6478216,18.6,112.6,23,11,1,"591,674"
Georgia,4,State,2000,8186453,26.4,142.3,20,13,2,"631,306"
Georgia,4,State,2010,9687653,18.3,168.4,20,14,1,"694,826"
Georgia,4,State,2020,10711908,10.6,185.6,19,14,0,"766,091"
Hawaii,50,State,1910,191909,24.6,29.9,31,,,
Hawaii,50,State,1920,255912,33.4,39.8,28,,,
Hawaii,50,State,1930,368336,43.9,57.3,21,,,
Hawaii,50,State,1940,423330,14.9,65.9,20,,,
Hawaii,50,State,1950,499794,18.1,77.8,19,,,
Hawaii,50,State,1960,632772,26.6,98.5,17,2,2,"316,386"
Hawaii,50,State,1970,768561,21.5,119.7,17,2,0,"392,451"
Hawaii,50,State,1980,964691,25.5,150.2,17,2,0,"482,500"
Hawaii,50,State,1990,1108229,14.9,172.6,15,2,0,"557,637"
Hawaii,50,State,2000,1211537,9.3,188.6,15,2,0,"608,321"
Hawaii,50,State,2010,1360301,12.3,211.8,15,2,0,"683,431"
Hawaii,50,State,2020,1455271,7,226.6,15,2,0,"730,069"
Idaho,43,State,1910,325594,101.3,3.9,46,2,1,"161,720"
Idaho,43,State,1920,431866,32.6,5.2,46,2,0,"215,221"
Idaho,43,State,1930,445032,3,5.4,46,2,0,"220,768"
Idaho,43,State,1940,524873,17.9,6.4,46,2,0,"262,437"
Idaho,43,State,1950,588637,12.1,7.1,46,2,0,"294,319"
Idaho,43,State,1960,667191,13.3,8.1,47,2,0,"333,596"
Idaho,43,State,1970,712567,6.8,8.6,47,2,0,"359,961"
Idaho,43,State,1980,943935,32.5,11.4,45,2,0,"471,968"
Idaho,43,State,1990,1006749,6.7,12.2,46,2,0,"505,993"
Idaho,43,State,2000,1293953,28.5,15.7,46,2,0,"648,637"
Idaho,43,State,2010,1567582,21.1,19,46,2,0,"786,750"
Idaho,43,State,2020,1839106,17.3,22.3,46,2,0,"920,689"
Illinois,21,State,1910,5638591,16.9,101.6,12,27,2,"208,837"
Illinois,21,State,1920,6485280,15,116.8,11,27,0,"240,196"
Illinois,21,State,1930,7630654,17.7,137.4,11,27,0,"282,607"
Illinois,21,State,1940,7897241,3.5,142.2,11,26,-1,"303,740"
Illinois,21,State,1950,8712176,10.3,156.9,12,25,-1,"348,487"
Illinois,21,State,1960,10081158,15.7,181.6,12,24,-1,"420,048"
Illinois,21,State,1970,11113976,10.2,200.2,12,24,0,"466,013"
Illinois,21,State,1980,11426518,2.8,205.8,12,22,-2,"519,021"
Illinois,21,State,1990,11430602,0,205.9,13,20,-2,"573,334"
Illinois,21,State,2000,12419293,8.6,223.7,13,19,-1,"654,686"
Illinois,21,State,2010,12830632,3.3,231.1,14,18,-1,"714,688"
Illinois,21,State,2020,12812508,-0.1,230.8,14,17,-1,"754,279"
Indiana,19,State,1910,2700876,7.3,75.4,13,13,0,"207,760"
Indiana,19,State,1920,2930390,8.5,81.8,13,13,0,"225,415"
Indiana,19,State,1930,3238503,10.5,90.4,13,12,-1,"269,873"
Indiana,19,State,1940,3427796,5.8,95.7,13,11,-1,"311,618"
Indiana,19,State,1950,3934224,14.8,109.8,14,11,0,"357,657"
Indiana,19,State,1960,4662498,18.5,130.1,14,11,0,"423,863"
Indiana,19,State,1970,5193669,11.4,145,14,11,0,"475,287"
Indiana,19,State,1980,5490224,5.7,153.2,15,10,-1,"549,018"
Indiana,19,State,1990,5544159,1,154.8,18,10,0,"556,423"
Indiana,19,State,2000,6080485,9.7,169.7,18,9,-1,"676,754"
Indiana,19,State,2010,6483802,6.6,181,18,9,0,"722,398"
Indiana,19,State,2020,6785528,4.7,189.4,18,9,0,"754,476"
Iowa,29,State,1910,2224771,-0.3,39.8,26,11,0,"202,252"
Iowa,29,State,1920,2404021,8.1,43,26,11,0,"218,547"
Iowa,29,State,1930,2470939,2.8,44.2,28,9,-2,"274,491"
Iowa,29,State,1940,2538268,2.7,45.4,29,8,-1,"317,284"
Iowa,29,State,1950,2621073,3.3,46.9,30,8,0,"327,634"
Iowa,29,State,1960,2757537,5.2,49.4,30,7,-1,"393,934"
Iowa,29,State,1970,2824376,2.4,50.6,31,6,-1,"474,487"
Iowa,29,State,1980,2913808,3.2,52.2,34,6,0,"485,565"
Iowa,29,State,1990,2776755,-4.7,49.7,35,5,-1,"557,485"
Iowa,29,State,2000,2926324,5.4,52.4,35,5,0,"586,385"
