DATE,Median_hh_income,Year
1984-01-01,55828,1984
1985-01-01,56871,1985
1986-01-01,58920,1986
1987-01-01,59624,1987
1988-01-01,60115,1988
1989-01-01,61153,1989
1990-01-01,60370,1990
1991-01-01,58607,1991
1992-01-01,58153,1992
1993-01-01,57843,1993
1994-01-01,58515,1994
1995-01-01,60348,1995
1996-01-01,61225,1996
1997-01-01,62484,1997
1998-01-01,64781,1998
1999-01-01,66385,1999
2000-01-01,66248,2000
2001-01-01,64779,2001
2002-01-01,64047,2002
2003-01-01,63967,2003
2004-01-01,63745,2004
2005-01-01,64427,2005
2006-01-01,64930,2006
2007-01-01,65801,2007
2008-01-01,63455,2008
2009-01-01,63011,2009
2010-01-01,61364,2010
2011-01-01,60428,2011
2012-01-01,60313,2012
2013-01-01,62425,2013
2014-01-01,61468,2014
2015-01-01,64631,2015
2016-01-01,66657,2016
2017-01-01,67571,2017
2018-01-01,68168,2018
2019-01-01,72808,2019
2020-01-01,71186,2020
2021-01-01,70784,2021
2022-01-01,71000,2022
2023-01-01,71000,2023
