,zip_code,Annual Change (%)
649,3777,0.17875000000000008
718,5059,-1.4287500000000002
738,5261,-1.4900000000000002
1491,12156,-1.0166666666666668
1609,12887,-0.01555555555555562
2445,18923,-0.3850000000000002
3021,21665,-2.9899999999999998
3389,24641,-1.023636363636364
3605,28371,0.10666666666666659
3641,28544,-0.6471428571428574
3645,28556,0.23199999999999998
3664,28636,0.2740000000000001
3709,28774,-0.7887499999999998
3745,29353,-0.38333333333333314
5213,36611,-0.4129411764705883
5618,41002,-2.758
5785,43333,0.18166666666666606
5908,43977,-0.5724999999999998
5957,44093,-0.24166666666666656
6095,44454,-0.9111111111111114
6106,44502,-1.1749999999999998
6235,45101,0.1281818181818182
6247,45146,-0.8212499999999999
6476,46117,-0.2587499999999998
6675,47227,-0.2483333333333332
6688,47264,-1.06875
6725,47436,-1.298
6728,47456,-2.278181818181818
6773,47922,-1.3866666666666667
6956,48440,0.10999999999999943
7301,49831,-0.7314285714285715
7527,53937,-1.8650000000000002
7571,54232,-2.3190909090909093
8047,60029,-1.6488888888888888
8429,61261,-1.4766666666666668
8453,61349,-0.07625000000000015
8468,61377,0.08999999999999987
8474,61415,-1.1688888888888889
8510,61560,0.07500000000000005
8516,61572,-0.010000000000000182
8615,62515,0.002000000000000076
8641,62621,-0.8933333333333332
8675,62910,-0.9542857142857143
8904,66075,-1.4833333333333334
9036,67561,-1.2338461538461538
10417,80428,-1.6199999999999999
11166,90212,-2.932
