,zip_code,Annual Change (%)
13,1032,10.485
45,1105,11.420000000000002
281,2120,10.053125000000001
703,4363,10.324444444444445
1105,8103,9.7175
1264,10922,10.05125
1439,11976,11.202941176470588
1893,14738,10.237857142857141
2346,17981,9.937000000000001
2422,18466,12.831666666666665
2999,21405,15.3825
3052,21767,9.63888888888889
4044,30314,9.808947368421054
4322,32459,9.787727272727272
4326,32502,9.738
4406,32759,10.39
4429,32811,11.793333333333335
4440,32827,9.703999999999999
4449,32948,9.535294117647059
4480,33034,11.94421052631579
4481,33035,14.5
4486,33043,9.656666666666666
4488,33054,9.839565217391305
4499,33069,9.912105263157894
4506,33127,13.9495
4510,33135,9.613928571428572
4511,33136,19.753999999999998
4512,33137,10.77962962962963
4517,33142,11.060869565217391
4523,33149,10.025500000000001
4530,33160,9.843703703703703
4556,33190,10.09
4677,33605,10.29529411764706
4734,33785,9.61923076923077
4750,33838,13.472499999999998
4807,34236,9.965357142857142
4822,34288,10.143157894736841
4823,34291,10.623157894736842
4854,34484,9.942666666666668
4900,34753,9.578823529411764
4915,34946,13.797999999999998
4916,34947,16.014166666666664
4922,34956,10.11
4930,34987,10.279473684210526
6049,44307,9.967142857142857
6953,48437,10.940000000000001
9157,70051,10.575999999999999
9795,76115,13.200000000000001
10133,78207,10.806000000000001
10196,78615,12.416
10225,78702,9.91157894736842
10230,78721,9.70625
10378,80216,10.242857142857142
10474,80623,9.58
10547,83323,11.51
10566,83626,13.881250000000001
10567,83628,9.588
10570,83639,10.633333333333333
10688,84301,10.053333333333333
10754,85004,12.120526315789473
10764,85017,10.783846153846154
10766,85019,10.05107142857143
10775,85031,11.6432
10778,85035,10.006774193548386
10779,85037,9.958214285714286
10780,85040,13.136818181818182
10781,85041,10.4404
10783,85043,10.512916666666667
10799,85123,9.852380952380953
10800,85128,10.430588235294117
10801,85131,9.732666666666667
10804,85138,13.844999999999999
10806,85140,9.882857142857143
10808,85143,11.93
10809,85173,14.498333333333335
10851,85297,9.966470588235294
10852,85298,10.032941176470588
10863,85323,11.80578947368421
10867,85335,13.46
10877,85361,10.73058823529412
10878,85363,12.549583333333333
10884,85379,11.254117647058823
10889,85388,11.298666666666668
10893,85396,11.201052631578946
10981,86334,9.643684210526317
11022,89030,10.686
11030,89061,11.202105263157895
11032,89081,10.913499999999999
11034,89101,11.0976
11043,89115,9.922
11060,89141,9.734117647058824
11062,89143,9.815555555555555
11067,89148,10.213529411764705
11119,90015,14.37076923076923
11152,90057,12.58
11261,91008,10.116190476190477
11389,91905,10.078125
11431,92060,10.065714285714284
11456,92113,10.547741935483872
11485,92230,10.681111111111111
11500,92268,16.690833333333334
11502,92274,13.79625
11506,92285,15.908888888888889
11507,92301,9.79
11532,92358,10.254285714285714
11541,92378,14.083333333333334
11555,92410,9.613461538461538
11556,92411,10.345
11572,92548,12.62125
11631,92694,10.291818181818183
11669,92880,9.76
11713,93242,10.2175
11714,93243,10.037
11717,93250,10.205294117647059
11766,93461,10.01764705882353
11769,93501,13.514444444444443
11808,93640,11.26
11813,93648,10.843124999999999
11814,93650,12.788666666666666
11818,93656,9.704375
11826,93701,14.807058823529411
11988,94603,9.66451612903226
11996,94612,9.554375
12099,95202,13.15764705882353
12102,95205,9.540000000000001
12127,95333,17.01090909090909
12134,95365,17.06
12137,95374,11.978461538461538
12142,95388,9.766538461538461
12143,95391,9.881333333333334
12156,95426,10.564545454545454
12157,95428,13.325
12178,95464,12.266666666666667
12180,95466,16.3425
12261,95814,10.476875
12292,95919,13.608
12308,95968,15.065
