DATE,recession_flag,year,quarter
1967-10-01,0.0,1967,4
1968-01-01,0.0,1968,1
1968-04-01,0.0,1968,2
1968-07-01,0.0,1968,3
1968-10-01,0.0,1968,4
1969-01-01,0.0,1969,1
1969-04-01,1.0,1969,2
1969-07-01,1.0,1969,3
1969-10-01,1.0,1969,4
1970-01-01,1.0,1970,1
1970-04-01,1.0,1970,2
1970-07-01,1.0,1970,3
1970-10-01,1.0,1970,4
1971-01-01,0.0,1971,1
1971-04-01,0.0,1971,2
1971-07-01,0.0,1971,3
1971-10-01,0.0,1971,4
1972-01-01,0.0,1972,1
1972-04-01,0.0,1972,2
1972-07-01,0.0,1972,3
1972-10-01,0.0,1972,4
1973-01-01,0.0,1973,1
1973-04-01,0.0,1973,2
1973-07-01,0.0,1973,3
1973-10-01,1.0,1973,4
1974-01-01,1.0,1974,1
1974-04-01,1.0,1974,2
1974-07-01,1.0,1974,3
1974-10-01,1.0,1974,4
1975-01-01,1.0,1975,1
1975-04-01,0.0,1975,2
1975-07-01,0.0,1975,3
1975-10-01,0.0,1975,4
1976-01-01,0.0,1976,1
1976-04-01,0.0,1976,2
1976-07-01,0.0,1976,3
1976-10-01,0.0,1976,4
1977-01-01,0.0,1977,1
1977-04-01,0.0,1977,2
1977-07-01,0.0,1977,3
1977-10-01,0.0,1977,4
1978-01-01,0.0,1978,1
1978-04-01,0.0,1978,2
1978-07-01,0.0,1978,3
1978-10-01,0.0,1978,4
1979-01-01,0.0,1979,1
1979-04-01,1.0,1979,2
1979-07-01,1.0,1979,3
1979-10-01,1.0,1979,4
1980-01-01,1.0,1980,1
1980-04-01,1.0,1980,2
1980-07-01,0.0,1980,3
1980-10-01,0.0,1980,4
1981-01-01,0.0,1981,1
1981-04-01,1.0,1981,2
1981-07-01,1.0,1981,3
1981-10-01,1.0,1981,4
1982-01-01,1.0,1982,1
1982-04-01,1.0,1982,2
1982-07-01,0.0,1982,3
1982-10-01,0.0,1982,4
1983-01-01,0.0,1983,1
1983-04-01,0.0,1983,2
1983-07-01,0.0,1983,3
1983-10-01,0.0,1983,4
