,zip_code,Annual Change (%)
19,1039,-8.1525
71,1255,-7.3425
134,1531,-5.38
377,2543,-7.82
823,6058,-6.209999999999999
827,6065,-8.875
960,6796,-10.1
1124,8241,-5.2219999999999995
1133,8310,-6.396666666666667
1434,11975,-5.3133333333333335
1605,12887,-7.526666666666667
1889,14738,-8.13
2102,16153,-5.2
2206,17214,-7.335000000000001
2469,19009,-5.3525
2795,20688,-5.3525
2849,20812,-9.61
2870,20868,-12.45
2878,20880,-5.072
2920,21071,-6.865
3002,21612,-5.95
3014,21662,-16.87
3021,21676,-7.11
3029,21711,-5.97
3047,21767,-7.004999999999999
3100,22125,-24.15
3151,22623,-6.983333333333333
3154,22627,-7.260000000000001
3169,22715,-6.4750000000000005
3171,22718,-7.753333333333333
3172,22720,-6.984999999999999
3174,22726,-7.217500000000001
3180,22736,-6.1274999999999995
3385,25403,-5.805
3386,25404,-5.745
3387,25405,-6.904999999999999
3389,25413,-6.195
3395,25428,-5.5575
3396,25430,-7.2575
3804,29581,-7.5024999999999995
4022,30291,-9.0975
4221,32097,-5.452500000000001
4225,32113,-5.0875
4230,32124,-7.4975000000000005
4300,32346,-8.61
4312,32435,-5.5375
4315,32459,-6.119999999999999
4316,32461,-18.49
4363,32625,-9.295
4399,32759,-5.725
4430,32824,-5.64125
4432,32826,-5.3759999999999994
4442,32948,-9.469999999999999
4466,33027,-6.944
4467,33028,-7.846000000000001
4473,33034,-6.3839999999999995
4474,33035,-14.455
4478,33042,-6.276000000000001
4479,33043,-5.101999999999999
4496,33076,-5.811428571428571
4510,33142,-6.061999999999999
4551,33194,-8.105
4590,33412,-6.381666666666667
4633,33513,-5.1000000000000005
4641,33543,-5.086
4643,33545,-5.246
4658,33576,-6.628
4742,33837,-5.314000000000001
4743,33838,-5.8566666666666665
4753,33870,-5.24
4762,33897,-13.852500000000001
4764,33935,-7.624
4770,33953,-7.348000000000001
4773,33980,-9.564
4775,33982,-7.218000000000001
4777,34201,-12.41
4785,34211,-6.703999999999999
4788,34219,-6.8
4790,34222,-5.436
4810,34269,-6.382000000000001
4813,34286,-10.614
4814,34287,-6.57625
4815,34288,-9.7
4816,34291,-9.362
4823,34432,-7.732000000000001
4824,34433,-6.172000000000001
4839,34473,-5.988333333333333
4840,34474,-5.862
4841,34475,-5.91
4847,34484,-6.5775
4860,34638,-5.992
4881,34714,-8.208
4882,34715,-5.704999999999999
4893,34753,-7.205
4895,34758,-6.753750000000001
4908,34946,-10.3075
4909,34947,-14.795
4911,34950,-7.548333333333333
4915,34956,-8.902500000000002
4920,34983,-5.3025
4922,34986,-9.678
4923,34987,-7.384
5021,35224,-5.300000000000001
5101,35966,-7.37
5113,36020,-7.81
5208,36617,-12.72
5771,43318,-5.244
5868,43746,-6.9475
6041,44307,-14.260000000000002
6196,44902,-10.22
6327,45346,-25.64
6622,47003,-6.574999999999999
6675,47244,-7.6
6690,47305,-8.49
6750,47807,-9.973333333333334
6809,48050,-6.01
6826,48075,-6.215
6907,48342,-5.8775
6934,48417,-6.856
6962,48476,-5.85
6965,48505,-9.166666666666666
7003,48760,-6.415000000000001
7027,48841,-6.26
7062,48892,-5.406000000000001
7168,49248,-5.845
7191,49279,-5.938
7278,49638,-5.3
7410,51563,-9.88
7536,54027,-5.5
7587,54723,-6.5075
7656,55085,-6.96
7982,56683,-6.85
7986,57012,-5.17
8090,60109,-5.6925
8344,60921,-6.1850000000000005
8418,61261,-9.76
