state,zip_code
Arkansas,71923
New Jersey,7110
Idaho,83340
Michigan,49341
Oklahoma,73072
Massachusetts,1222
South Carolina,29388
California,91910
Pennsylvania,19508
Ohio,44143
Florida,33904
New York,14467
New Mexico,87505
Washington,98943
New Jersey,8733
Maryland,21904
Florida,34668
Utah,84725
Florida,34691
Massachusetts,1225
California,92256
California,94609
Arkansas,71901
California,91201
Minnesota,56176
Massachusetts,1235
Arizona,86322
New York,11413
California,95138
Tennessee,37920
Colorado,81226
Kansas,67060
Ohio,45251
South Carolina,29588
Georgia,30241
New Jersey,8345
Kansas,66214
Maryland,20678
California,95469
Colorado,80124
Florida,34219
Minnesota,55124
Georgia,30265
New Mexico,88065
West Virginia,26763
Texas,77382
Michigan,48124
New Jersey,7960
Arizona,85253
South Carolina,29374
California,92679
Tennessee,37013
Ohio,44260
Pennsylvania,15956
Kentucky,41016
Ohio,45207
Hawaii,96707
Ohio,44266
New York,11530
Maryland,21013
Washington,98019
Maryland,21757
Tennessee,38114
Georgia,30148
Tennessee,37142
Michigan,49460
Wisconsin,53042
Arizona,85373
Florida,32514
Texas,75057
Alabama,36522
Georgia,30519
Virginia,22309
Missouri,64078
South Carolina,29682
Arizona,86406
Florida,33417
Georgia,30147
Georgia,30327
Illinois,60559
North Carolina,27377
Connecticut,6489
Idaho,83420
Florida,33438
Texas,75424
Maryland,21223
Washington,99301
Illinois,61348
Alabama,35986
Maryland,20905
Ohio,43824
Texas,75839
New Jersey,7044
New York,13212
Ohio,44632
Arkansas,72930
Tennessee,38122
New Jersey,8514
Colorado,80423
Pennsylvania,16403
Louisiana,70080
Minnesota,55375
California,95540
New Hampshire,3266
North Carolina,28582
Illinois,60436
New York,10306
Arkansas,72715
Tennessee,37618
Pennsylvania,17252
Ohio,43215
Missouri,64506
New Hampshire,3868
Connecticut,6880
Florida,33853
Missouri,64163
Alaska,99714
New Jersey,7307
Minnesota,55992
Ohio,44606
Texas,76904
New York,14807
Florida,33617
New Hampshire,3304
New Jersey,7930
New Jersey,7020
Texas,78726
Missouri,64153
Virginia,22843
North Carolina,28504
New York,11706
California,95361
Virginia,24148
Arkansas,72730
California,93252
Michigan,49417
Utah,84058
Alabama,35222
California,92359
Georgia,30354
Connecticut,6492
Texas,75468
Virginia,20144
Kansas,67530
Michigan,48532
Connecticut,6359
Michigan,48025
Kentucky,42236
Michigan,49106
Iowa,50510
Texas,75367
Massachusetts,1240
Alabama,36541
Kentucky,40210
Colorado,81301
Utah,84057
Oregon,97203
Tennessee,38552
North Carolina,27830
Pennsylvania,17408
Illinois,60103
Massachusetts,2155
Texas,75070
Connecticut,6239
Columbia,20060
Massachusetts,1749
Maryland,21231
Illinois,60053
Wisconsin,53073
Ohio,43406
Ohio,43560
New York,11763
Florida,32812
Illinois,61607
Oregon,97459
Maine,4346
Arizona,85268
Arkansas,72102
Illinois,61883
California,91724
New York,11003
New Jersey,7603
New York,14742
New Jersey,7650
Michigan,48845
Texas,75601
Rhode Island,2812
Arizona,85713
California,95210
Tennessee,38106
Kansas,67342
Florida,34652
Colorado,80917
Missouri,64720
New York,12077
Arizona,85322
Arizona,85122
Maryland,20774
North Carolina,27310
California,92539
Iowa,52001
Minnesota,55935
California,90241
North Carolina,27495
New Jersey,7107
South Dakota,57021
Florida,32132
Indiana,46615
Pennsylvania,15050
California,90242
Illinois,61705
Washington,99324
Illinois,60543
Oklahoma,74454
Florida,33311
Michigan,48044
Wisconsin,54130
New Jersey,7646
California,95543
Pennsylvania,15650
Georgia,30641
Connecticut,6059
California,94520
Alabama,35124
Nebraska,68845
Iowa,52411
New York,13673
Idaho,83327
Minnesota,55359
New York,11221
Florida,33982
New Jersey,8735
California,93240
Maine,4020
North Carolina,28451
North Carolina,28670
Ohio,43610
Michigan,49849
New York,13619
Minnesota,55123
Wisconsin,53558
New Jersey,8824
Colorado,81022
Washington,98579
Georgia,30093
Pennsylvania,17959
Arkansas,72114
Georgia,30730
Maryland,20879
Wisconsin,53207
Iowa,50244
Indiana,47260
Arizona,85939
Texas,75039
Indiana,47230
Oklahoma,73010
Arkansas,72937
Illinois,60176
Hawaii,96743
Washington,98557
Pennsylvania,18014
Indiana,46619
Pennsylvania,19425
Hawaii,96793
New York,13904
Illinois,61605
Florida,33106
Iowa,50327
California,90717
New York,10570
California,91364
Minnesota,55421
California,91401
Oklahoma,74444
Arkansas,72519
Illinois,60022
California,95112
Kansas,66021
Oregon,97504
Maryland,21798
Missouri,64079
Virginia,23435
Michigan,48655
Kentucky,41076
California,90018
New Hampshire,3867
New York,14028
Arkansas,72756
Illinois,60060
Montana,59926
Oklahoma,73159
Ohio,45337
Texas,75651
Florida,33406
Wisconsin,54902
Connecticut,6757
Louisiana,70759
Georgia,30033
Pennsylvania,17520
Nevada,89451
Delaware,19734
Maryland,21225
New Hampshire,3466
Florida,32656
Minnesota,55426
Tennessee,38012
Missouri,65231
New York,10522
Wisconsin,54448
Alabama,35579
Illinois,61920
Colorado,80122
Texas,76249
Florida,33014
Texas,75215
Washington,98310
Minnesota,55447
Virginia,22627
Texas,75209
Nevada,89428
New York,13092
Vermont,5478
Oregon,97212
Michigan,48034
Virginia,23221
Alabama,35179
South Carolina,29575
Tennessee,38544
Tennessee,37016
New Jersey,8016
California,95646
New Hampshire,3779
Missouri,65809
South Carolina,29690
Indiana,47868
Oregon,97426
North Carolina,27231
Ohio,43106
Georgia,30008
Wisconsin,53583
Texas,78572
Texas,76028
Pennsylvania,18634
Connecticut,6443
Oregon,97444
Tennessee,37754
New York,10462
Massachusetts,2054
Colorado,80603
California,91977
Texas,78357
Virginia,23220
Ohio,43450
Louisiana,70526
New Jersey,8060
Nebraska,68512
Massachusetts,1730
Pennsylvania,15459
Tennessee,37766
Kentucky,40202
Illinois,61614
Kentucky,42001
Florida,33905
Indiana,46060
Illinois,61342
Florida,33160
Wisconsin,53531
Massachusetts,2021
Michigan,49894
Utah,84663
Kansas,66611
Alabama,35634
Illinois,62830
New York,11972
Virginia,22193
Connecticut,6092
Iowa,50056
Kentucky,40517
Pennsylvania,15233
Hawaii,96725
Minnesota,55940
California,94937
Oregon,97034
Kansas,66227
Minnesota,55410
Pennsylvania,15220
Maryland,21779
Wisconsin,53179
Maryland,21788
Colorado,80026
Arkansas,72411
New Jersey,8812
California,95663
New Jersey,8243
Louisiana,71030
Massachusetts,2445
Florida,32951
New Jersey,8618
Ohio,43511
Illinois,60560
New York,10607
Pennsylvania,15131
Ohio,45732
Virginia,20155
California,92024
Florida,33890
Texas,79508
Virginia,24084
Ohio,44618
Oregon,97219
Minnesota,56330
New York,11518
Kentucky,42372
New York,11249
Kentucky,42056
Arizona,85017
Hawaii,96745
Iowa,51536
North Carolina,28721
Massachusetts,2346
Florida,33024
New York,11950
Florida,34461
Kentucky,42321
Illinois,61061
Michigan,49316
Georgia,30813
California,94706
Michigan,48036
California,94043
Virginia,23851
New York,12819
Iowa,52324
California,92410
Iowa,51331
Minnesota,56359
Wisconsin,53114
Ohio,43082
Massachusetts,2118
Texas,76179
Massachusetts,1867
Washington,98503
North Carolina,28523
Texas,75050
Texas,75225
Arkansas,72903
Illinois,60617
South Dakota,57105
New York,10901
New Jersey,8215
Texas,75146
North Carolina,28732
Arkansas,72901
Missouri,64504
Colorado,81007
California,93256
Illinois,62326
Florida,33759
Colorado,80444
Indiana,47012
Missouri,65722
California,93703
North Carolina,28468
Maryland,21738
California,92683
Connecticut,6447
New York,12078
Georgia,30802
Vermont,5150
Ohio,43748
Ohio,43203
Connecticut,6878
Idaho,83709
Texas,78557
South Carolina,29801
New York,11576
Massachusetts,2382
Pennsylvania,15235
Tennessee,37183
Texas,75068
Illinois,61455
Pennsylvania,15239
Texas,75233
California,94111
Ohio,45062
Arkansas,72223
Washington,99137
Virginia,24141
Illinois,60521
Pennsylvania,19015
Idaho,83864
California,91915
Massachusetts,2053
Texas,77451
New Jersey,8071
Illinois,60104
Wisconsin,54476
Missouri,65806
Minnesota,55005
Pennsylvania,18011
Ohio,44102
New Hampshire,3046
Florida,33811
Texas,78215
Ohio,44718
Nevada,89106
Texas,78620
New York,11548
Kansas,66801
Indiana,46383
Kansas,66061
Hawaii,96821
Iowa,50062
Hawaii,96766
Oklahoma,74112
Missouri,63135
Oregon,97707
Wisconsin,54745
Maryland,20707
Florida,33712
Florida,33149
Utah,84078
New Mexico,87556
Kentucky,42240
Illinois,60464
Maine,4260
New York,14617
Minnesota,55345
Oklahoma,74128
Texas,75460
Kentucky,41056
Illinois,61540
California,93926
California,96065
Illinois,61321
Texas,76182
Illinois,60615
Indiana,46219
Nebraska,68366
New York,10506
Tennessee,37217
Ohio,43015
Minnesota,55057
Pennsylvania,18250
Washington,99025
Washington,98065
North Carolina,28374
New York,14482
Louisiana,70001
Pennsylvania,17090
Ohio,44134
New York,12477
New York,12064
Michigan,48012
North Carolina,27370
Maryland,21784
New York,10033
North Carolina,27591
Louisiana,71260
Ohio,45304
Kansas,67333
New York,14525
Maryland,20688
Pennsylvania,18049
Tennessee,37150
Arizona,85060
Alabama,36116
Nevada,89052
New York,13148
California,95691
New York,13073
California,92007
New York,10520
New York,11705
Mississippi,39531
Washington,98294
Indiana,47862
Illinois,60555
Washington,98131
Nebraska,68504
Florida,32179
Texas,77477
Ohio,45742
Illinois,62067
Ohio,43619
Florida,33181
South Carolina,29691
Texas,78610
Kentucky,41092
Illinois,60415
Nevada,89104
New York,11050
Maryland,21529
Arizona,85137
Maryland,21919
Delaware,19718
Louisiana,70775
New Mexico,88317
Florida,34209
New Hampshire,3442
Ohio,44804
Vermont,5033
Kentucky,40272
Wisconsin,53024
Illinois,60087
California,94402
Ohio,44053
Connecticut,6418
Indiana,46064
Georgia,31331
Florida,33021
Pennsylvania,16335
Maine,4074
Nevada,89108
Pennsylvania,15655
Virginia,22553
Maine,4419
Michigan,48180
Virginia,24064
Texas,78213
North Carolina,28602
Iowa,51360
California,90034
Texas,77655
Colorado,80452
Missouri,65674
New Jersey,8210
Florida,32792
New Mexico,88242
Georgia,30126
California,95012
California,90230
Pennsylvania,15501
Washington,98201
Texas,77026
North Carolina,27508
Missouri,64444
Utah,84087
New Hampshire,3846
Ohio,43315
New York,10526
Alaska,99504
Missouri,65101
Florida,32305
Maryland,21631
Rhode Island,2871
Indiana,46123
North Carolina,28134
Kentucky,40923
New Hampshire,3784
Texas,78204
Florida,32667
Colorado,81640
Columbia,20011
Colorado,80118
California,95695
Vermont,5775
Florida,33760
Wisconsin,53911
Arizona,85201
Michigan,48234
Georgia,30311
Illinois,60564
Florida,32244
New York,12481
Wisconsin,53063
Pennsylvania,19103
South Carolina,29555
California,90701
Alabama,36852
Pennsylvania,17517
New Hampshire,3887
California,92116
Alabama,36689
New Hampshire,3602
Tennessee,38401
Colorado,80205
Texas,75056
Tennessee,37809
Texas,77386
Tennessee,38111
Texas,75438
Florida,33440
Florida,33945
Kansas,67838
North Carolina,28262
Arizona,86047
New York,12025
Utah,84783
Pennsylvania,18066
Florida,33707
Kentucky,40601
New Jersey,8014
Georgia,30012
New York,13478
Wisconsin,54427
Texas,75211
Virginia,22959
Arkansas,72472
Illinois,61525
Washington,99111
Tennessee,38355
Illinois,62282
Alabama,35116
Missouri,64016
Texas,75002
Louisiana,70124
Florida,33510
Oregon,97101
Texas,78244
New York,12066
Illinois,62469
Florida,33778
Massachusetts,2136
New Jersey,7676
Florida,34788
Indiana,46501
Michigan,49227
Oregon,97839
Maryland,21903
California,95843
Michigan,49011
South Carolina,29909
Montana,59715
Nebraska,68007
Tennessee,37221
California,90006
North Carolina,27419
California,92111
North Carolina,28564
Minnesota,55929
Kentucky,40353
New York,12780
Florida,33016
Missouri,65771
Arizona,85009
Illinois,60014
Arkansas,72152
South Carolina,29407
Florida,34236
Washington,98595
Minnesota,55011
Florida,32407
Connecticut,6798
Kentucky,42123
California,94517
New York,11732
California,92630
Ohio,44114
Wisconsin,54228
New York,11694
Minnesota,55971
Pennsylvania,17363
Texas,78702
Florida,32550
Texas,76643
Wisconsin,54410
Pennsylvania,17554
South Carolina,29153
Massachusetts,2149
Kentucky,42024
Texas,75949
Maryland,21643
Missouri,64859
New Hampshire,3036
Texas,77069
California,90262
Pennsylvania,17263
Florida,33430
Ohio,43528
Colorado,80905
Pennsylvania,19127
Indiana,46203
Kansas,67037
Michigan,49931
Pennsylvania,19096
Iowa,52353
Pennsylvania,19428
Alabama,36511
Washington,98103
Virginia,23451
New York,10516
Utah,84761
Wisconsin,54227
Virginia,23693
North Carolina,28078
Virginia,23503
Massachusetts,1583
