YEAR,avg_rate_for_year
1954,1.0083333333333333
1955,1.7850000000000001
1956,2.7283333333333335
1957,3.105
1958,1.5725
1959,3.3049999999999997
1960,3.2158333333333338
1961,1.955
1962,2.7083333333333335
1963,3.1783333333333332
1964,3.4966666666666666
1965,4.075
1966,5.111666666666667
1967,4.22
1968,5.659166666666667
1969,8.204166666666667
1970,7.183333333333334
1971,4.6625000000000005
1972,4.434166666666667
1973,8.727500000000001
1974,10.5025
1975,5.824166666666667
1976,5.045
1977,5.5375000000000005
1978,7.930833333333333
1979,11.194166666666666
1980,13.355833333333331
1981,16.378333333333334
1982,12.258333333333333
1983,9.086666666666668
1984,10.225
1985,8.100833333333334
1986,6.805
1987,6.6575
1988,7.5683333333333325
1989,9.216666666666667
1990,8.099166666666667
1991,5.6875
1992,3.5216666666666665
1993,3.0224999999999995
1994,4.201666666666667
1995,5.836666666666666
1996,5.298333333333333
1997,5.46
1998,5.353333333333333
1999,4.97
2000,6.235833333333333
2001,3.8874999999999997
2002,1.6666666666666667
2003,1.1275
2004,1.3491666666666668
2005,3.2133333333333334
2006,4.964166666666666
2007,5.019166666666666
2008,1.9275
2009,0.16
2010,0.17500000000000002
2011,0.10166666666666667
2012,0.14
2013,0.1075
2014,0.08916666666666667
2015,0.1325
2016,0.395
2017,1.0016666666666667
2018,1.8316666666666668
2019,2.158333333333333
2020,0.3758333333333333
2021,0.08
2022,1.6833333333333333
2023,4.516666666666667
